2,TMPMAX,Temp  daily max,Temperature  daily maximum,0.10,460,120,Degrees C,daily
3,TMPMIN,Temp  daily min,Temperature  daily minimum,0.10,360,-100,Degrees C,daily
4,TMPMN,Temp  daily mean,Temperature  daily mean,0.10,,,Degrees C,daily
5,PRECIP,Precip  daily,Precipitation  daily total,0.10,3000,0,Millimeters,daily
6,PRMX5,PRCP  max 5 min,Precip  greatest amount in 5 minutes,0.10,,,Millimeters,daily
7,PRMX10,PRCP  max 10 min,Precip  greatest amount in 10 minutes,0.10,,,Millimeters,daily
8,PRMX15,PRCP  max 15 min,Precip  greatest amount in 15 minutes,0.10,,,Millimeters,daily
9,PRMX30,PRCP  max 30 min,Precip  greatest amount in 30 minutes,0.10,,,Millimeters,daily
10,PRMX60,PRCP  max 60 min,Precip  greatest amount in 60 minutes,0.10,,,Millimeters,daily
11,PRMX2H,PRCP  max 2 hour,Precip  greatest amount in 2 hours,0.10,,,Millimeters,daily
12,DPTMAX,Temp  dew pt max,Temperature  dew point  daily maximum,0.10,,,Degrees C,daily
13,DPTMIN,Temp  dew pt min,Temperature  dew point  daily minimum,0.10,,,Degrees C,daily
14,DPTMN,Temp  dew pt mn,Temperature  dew point  daily mean,0.10,,,Degrees C,daily
15,RHMAX,RH  daily max,Relative humidity  daily maximum,1.00,100,0,Percent,daily
16,RHMIN,RH  daily min,Relative humidity  daily minimum,1.00,100,0,Percent,daily
17,RHMEAN,RH  daily mean,Relative humidity  daily mean,1.00,100,0,Percent,daily
18,EVAPPN1,Evap  pan1 daily,Evaporation  pan1  daily total,0.10,250,0,Millimeters,daily
19,EVAPLK,Evap  lake daily,Evaporation  lake  daily total,0.10,,,Millimeters,daily
20,MXTPAN,Temp  evap pn mx,Temperature  evaporation pan  daily maximum,0.10,,,Degrees C,daily
21,MNTPAN,Temp  evap pn mn,Temperature  evaporation pan  daily minimum,0.10,,,Degrees C,daily
22,MTPAN,Temp  evap pn mn,Temperature  evaporation pan  daily mean,0.10,,,Degrees C,daily
23,HTDD1,HTNG Degree Day1,Heating degree days - Base 1,1.00,,,Unitless,daily
24,HTDD2,HTNG Degree Day2,Heating degree days - Base 2,1.00,,,Unitless,daily
25,CDD1,CLNG Degree Day1,Cooling degree days - Base 1,1.00,,,Unitless,daily
26,CDD2,CLNG Degree Day2,Cooling degree days - Base 2,1.00,,,Unitless,daily
27,GDD1,GRNG Degree Day1,Growing degree days - Base 1,1.00,,,Unitless,daily
28,GDD2,GRNG Degree Day2,Growing degree days - Base 2,1.00,,,Unitless,daily
29,DYRAIN,Day with Rain,Day with rainfall,1.00,,,Unitless,daily
30,DYTHND,Day with Thunder,Day with thunderstorms,1.00,,,Unitless,daily
31,DYHAIL,Day with Hail,Day with hail,1.00,,,Unitless,daily
32,DYFOG,Day with Fog,Day with fog,1.00,,,Unitless,daily
33,DYSAND,Day with Dust,Day with blowing sand or dust,1.00,,,Unitless,daily
34,DYSMOK,Day with Smoke,Day with smoke or thick haze,1.00,,,Unitless,daily
35,DYSNOW,Day with Snow,Day with snow,1.00,,,Unitless,daily
